,1,3,4,5
46,09:00 16 Abr,★ Watford 17/10 2.70 +170,Empate 21/10 3.10 +210,★ Brentford 17/10 2.70 +170
47,09:00 16 Abr,★ Southampton 51/20 3.55 +255,Empate 12/5 3.40 +240,★ Arsenal 21/20 2.05 +105
48,09:00 16 Abr,★ Manchester United 2/9 1.222 -450,Empate 21/4 6.25 +525,★ Norwich City 12/1 13.00 +1200
49,08:15 17 Abr,★ West Ham United 11/20 1.55 -182,Empate 59/20 3.95 +295,★ Burnley 5/1 6.00 +500
50,08:15 17 Abr,★ Newcastle 6/4 2.50 +150,Empate 11/5 3.20 +220,★ Leicester City 19/10 2.90 +190
51,08:30 09 Abr,★ Bayern Munich 1/8 1.125 -800,Empate 9/1 10.00 +900,★ Augsburg 20/1 21.00 +2000
52,08:30 09 Abr,★ Cologne 6/4 2.50 +150,Empate 12/5 3.40 +240,★ Mainz 05 15/8 2.875 +187
53,08:30 09 Abr,★ Greuther Furth 4/1 5.00 +400,Empate 16/5 4.20 +320,★ Borussia Monchengladbach 4/6 1.666 -150
54,08:30 09 Abr,★ Wolfsburg 7/10 1.70 -143,Empate 29/10 3.90 +290,★ Arminia Bielefeld 17/4 5.25 +425
55,11:30 09 Abr,★ Hertha Berlin 15/8 2.875 +187,Empate 9/4 3.25 +225,★ Union Berlin 8/5 2.60 +160
56,08:30 10 Abr,★ VfL Bochum 16/5 4.20 +320,Empate 3/1 4.00 +300,★ Bayer Leverkusen 4/5 1.80 -125
57,10:30 10 Abr,★ Eintracht Frankfurt 29/20 2.45 +145,Empate 12/5 3.40 +240,★ Freiburg 2/1 3.00 +200
58,12:30 10 Abr,★ RB Leipzig 12/25 1.48 -209,Empate 4/1 5.00 +400,★ Hoffenheim 11/2 6.50 +550
59,08:30 16 Abr,★ Mainz 05 19/20 1.95 -106,Empate 49/20 3.45 +245,★ Stuttgart 29/10 3.90 +290
60,08:30 16 Abr,★ Augsburg 23/20 2.15 +115,Empate 9/4 3.25 +225,★ Hertha Berlin 5/2 3.50 +250
61,08:30 16 Abr,★ Borussia Dortmund 1/2 1.50 -200,Empate 7/2 4.50 +350,★ Wolfsburg 19/4 5.75 +475
62,11:30 16 Abr,★ Borussia Monchengladbach 21/20 2.05 +105,Empate 51/20 3.55 +255,★ Cologne 5/2 3.50 +250
63,08:30 17 Abr,★ Arminia Bielefeld 16/1 17.00 +1600,Empate 13/2 7.50 +650,★ Bayern Munich 2/13 1.153 -650
64,10:30 17 Abr,★ Union Berlin 7/5 2.40 +140,Empate 23/10 3.30 +230,★ Eintracht Frankfurt 39/20 2.95 +195
65,10:30 17 Abr,★ Hoffenheim 2/7 1.285 -350,Empate 19/4 5.75 +475,★ Greuther Furth 9/1 10.00 +900
66,12:30 17 Abr,★ Bayer Leverkusen 7/4 2.75 +175,Empate 49/20 3.45 +245,★ RB Leipzig 6/4 2.50 +150
67,08:00 09 Abr,★ Empoli 1/1 2.00 +100,Empate 51/20 3.55 +255,★ Spezia 14/5 3.80 +280
68,11:00 09 Abr,★ Inter 4/11 1.363 -275,Empate 17/4 5.25 +425,★ Verona 7/1 8.00 +700
69,13:45 09 Abr,★ Cagliari 21/4 6.25 +525,Empate 3/1 4.00 +300,★ Juventus 3/5 1.60 -167
70,05:30 10 Abr,★ GÃ©nova 3/1 4.00 +300,Empate 51/20 3.55 +255,★ Lazio 19/20 1.95 -106
71,08:00 10 Abr,★ Venezia 49/20 3.45 +245,Empate 47/20 3.35 +235,★ Udinese 6/5 2.20 +120
72,08:00 10 Abr,★ Napoles 3/4 1.75 -134,Empate 29/10 3.90 +290,★ Fiorentina 15/4 4.75 +375
73,08:00 10 Abr,★ Sassuolo 23/10 3.30 +230,Empate 57/20 3.85 +285,★ Atalanta 11/10 2.10 +110
74,11:00 10 Abr,★ Roma 1/3 1.333 -300,Empate 9/2 5.50 +450,★ Salernitana 9/1 10.00 +900
75,13:45 10 Abr,★ Torino 16/5 4.20 +320,Empate 51/20 3.55 +255,★ AC MilÃ¡n 10/11 1.909 -110
76,13:45 11 Abr,★ Bologna 6/5 2.20 +120,Empate 12/5 3.40 +240,★ Sampdoria 12/5 3.40 +240
77,12:00 15 Abr,★ Spezia 13/2 7.50 +650,Empate 4/1 5.00 +400,★ Inter 4/11 1.363 -275
78,14:00 15 Abr,★ AC MilÃ¡n 1/3 1.333 -300,Empate 15/4 4.75 +375,★ GÃ©nova 17/2 9.50 +850
79,05:30 16 Abr,★ Cagliari 2/1 3.00 +200,Empate 49/20 3.45 +245,★ Sassuolo 13/10 2.30 +130
80,07:30 16 Abr,★ Udinese 19/20 1.95 -106,Empate 51/20 3.55 +255,★ Empoli 14/5 3.80 +280
81,07:30 16 Abr,★ Sampdoria 3/4 1.75 -134,Empate 27/10 3.70 +270,★ Salernitana 7/2 4.50 +350
82,11:30 16 Abr,★ Juventus 2/5 1.40 -250,Empate 7/2 4.50 +350,★ Bologna 7/1 8.00 +700
83,13:45 16 Abr,★ Lazio 8/11 1.727 -138,Empate 27/10 3.70 +270,★ Torino 15/4 4.75 +375
84,12:00 18 Abr,★ Napoles 19/20 1.95 -106,Empate 51/20 3.55 +255,★ Roma 11/4 3.75 +275
85,14:00 18 Abr,★ Atalanta 13/20 1.65 -154,Empate 3/1 4.00 +300,★ Verona 4/1 5.00 +400
86,10:00 09 Abr,★ Stade Reims 4/1 5.00 +400,Empate 53/20 3.65 +265,★ Rennes 10/13 1.769 -130
87,14:00 09 Abr,★ Clermont Foot 17/2 9.50 +850,Empate 19/4 5.75 +475,★ Paris S.G. 3/10 1.30 -334
88,06:00 10 Abr,★ Burdeos 19/20 1.95 -106,Empate 5/2 3.50 +250,★ FC Metz 16/5 4.20 +320
89,08:00 10 Abr,★ Brest 8/5 2.60 +160,Empate 9/4 3.25 +225,★ Nantes 19/10 2.90 +190
90,08:00 10 Abr,★ AS Monaco 4/11 1.363 -275,Empate 4/1 5.00 +400,★ Troyes 8/1 9.00 +800
91,08:00 10 Abr,★ Angers SCO 47/20 3.35 +235,Empate 11/5 3.20 +220,★ Lille 27/20 2.35 +135
92,10:05 10 Abr,★ RC Lens 27/20 2.35 +135,Empate 12/5 3.40 +240,★ Nice 21/10 3.10 +210
93,12:00 10 Abr,★ Strasbourg 6/4 2.50 +150,Empate 12/5 3.40 +240,★ Lyon 15/8 2.875 +187
94,14:00 10 Abr,★ Marseille 8/15 1.533 -188,Empate 10/3 4.333 +333,★ Montpellier 21/4 6.25 +525
95,14:00 15 Abr,★ Rennes 1/1 2.00 +100,Empate 51/20 3.55 +255,★ AS Monaco 51/20 3.55 +255
96,10:00 16 Abr,★ Saint Etienne 13/10 2.30 +130,Empate 11/5 3.20 +220,★ Brest 21/10 3.10 +210
97,14:00 16 Abr,★ Lille 6/5 2.20 +120,Empate 9/4 3.25 +225,★ RC Lens 12/5 3.40 +240
98,06:00 17 Abr,★ Nice 7/10 1.70 -143,Empate 53/20 3.65 +265,★ Lorient 4/1 5.00 +400
99,08:00 17 Abr,★ Troyes 51/20 3.55 +255,Empate 23/10 3.30 +230,★ Strasbourg 11/10 2.10 +110
100,08:00 17 Abr,★ Montpellier 6/5 2.20 +120,Empate 19/10 2.90 +190,★ Stade Reims 14/5 3.80 +280
101,08:00 17 Abr,★ Nantes 19/20 1.95 -106,Empate 12/5 3.40 +240,★ Angers SCO 29/10 3.90 +290
102,08:00 17 Abr,★ FC Metz 33/20 2.65 +165,Empate 11/5 3.20 +220,★ Clermont Foot 17/10 2.70 +170
103,10:05 17 Abr,★ Lyon 3/10 1.30 -334,Empate 17/4 5.25 +425,★ Burdeos 9/1 10.00 +900
104,13:45 17 Abr,★ Paris S.G. 4/9 1.444 -225,Empate 15/4 4.75 +375,★ Marseille 11/2 6.50 +550
105,11:45 09 Abr,★ Utrecht 8/15 1.533 -188,Empate 7/2 4.50 +350,★ Fortuna Sittard 5/1 6.00 +500
106,13:00 09 Abr,★ Ajax Amsterdam 1/12 1.083 -1200,Empate 12/1 13.00 +1200,★ Sparta Rotterdam 25/1 26.00 +2500
107,14:00 09 Abr,★ NEC Nijmegen 3/1 4.00 +300,Empate 13/5 3.60 +260,★ Twente 19/20 1.95 -106
108,05:15 10 Abr,★ Heerenveen 29/20 2.45 +145,Empate 23/10 3.30 +230,★ Groningen 21/10 3.10 +210
109,07:30 10 Abr,★ Vitesse 11/20 1.55 -182,Empate 7/2 4.50 +350,★ Cambuur Leeuwarden 19/4 5.75 +475
110,07:30 10 Abr,★ PSV Eindhoven 1/9 1.111 -900,Empate 17/2 9.50 +850,★ RKC Waalwijk 25/1 26.00 +2500
111,09:45 10 Abr,★ Heracles Almelo 9/2 5.50 +450,Empate 10/3 4.333 +333,★ Feyenoord Rotterdam 4/7 1.571 -175
112,13:00 10 Abr,★ Zwolle 4/1 5.00 +400,Empate 14/5 3.80 +280,★ AZ Alkmaar 8/11 1.727 -138
113,11:45 16 Abr,★ Fortuna Sittard 31/20 2.55 +155,Empate 23/10 3.30 +230,★ Sparta Rotterdam 7/4 2.75 +175
114,13:00 22 Abr,★ Twente 12/25 1.48 -209,Empate 7/2 4.50 +350,★ Sparta Rotterdam 21/4 6.25 +525
115,09:30 23 Abr,★ NEC Nijmegen 8/1 9.00 +800,Empate 9/2 5.50 +450,★ Ajax Amsterdam 1/4 1.25 -400
116,11:45 23 Abr,★ AZ Alkmaar 4/11 1.363 -275,Empate 4/1 5.00 +400,★ Heerenveen 13/2 7.50 +650
117,13:00 23 Abr,★ RKC Waalwijk 11/10 2.10 +110,Empate 12/5 3.40 +240,★ Zwolle 49/20 3.45 +245
118,14:00 23 Abr,★ Cambuur Leeuwarden 7/1 8.00 +700,Empate 7/2 4.50 +350,★ PSV Eindhoven 2/5 1.40 -250
119,05:15 24 Abr,★ Willem II Tilburg 5/2 3.50 +250,Empate 13/5 3.60 +260,★ Vitesse 1/1 2.00 +100
120,07:30 24 Abr,★ Groningen 21/20 2.05 +105,Empate 51/20 3.55 +255,★ Heracles Almelo 49/20 3.45 +245
121,07:30 24 Abr,★ Feyenoord Rotterdam 1/2 1.50 -200,Empate 16/5 4.20 +320,★ Utrecht 21/4 6.25 +525
122,09:45 24 Abr,★ Fortuna Sittard 21/20 2.05 +105,Empate 49/20 3.45 +245,★ GO Ahead Eagles 5/2 3.50 +250
